,Hour,VehicleRef,RecordedAtTime,VehicleLocation.Latitude,VehicleLocation.Longitude
247,1,NYCT_4613,2017-06-01 00:52:59,40.608866,-73.921235
248,1,NYCT_4615,2017-06-01 00:53:21,40.679171999999994,-73.92916600000001
249,1,NYCT_4616,2017-06-01 00:03:42,40.578139,-73.940912
250,1,NYCT_4617,2017-06-01 00:13:50,40.622005,-73.936217
251,1,NYCT_4621,2017-06-01 00:52:59,40.646288,-73.958093
252,1,NYCT_4626,2017-06-01 00:03:51,40.589667999999996,-73.93989300000001
253,1,NYCT_4630,2017-06-01 00:23:34,40.618253,-73.926804
254,1,NYCT_465,2017-06-01 00:03:51,40.635025,-73.967566
255,1,NYCT_4660,2017-06-01 00:53:19,40.746714000000004,-73.984459
256,1,NYCT_4661,2017-06-01 00:33:50,40.665420000000005,-73.745935
257,1,NYCT_4661,2017-06-01 00:33:50,40.665420000000005,-73.745935
258,1,NYCT_4661,2017-06-01 00:33:50,40.665420000000005,-73.745935
259,1,NYCT_4665,2017-06-01 00:53:01,40.703326000000004,-73.795999
260,1,NYCT_4671,2017-06-01 00:52:47,40.768260999999995,-73.737703
261,1,NYCT_4681,2017-06-01 00:53:07,40.704376,-73.792979
262,1,NYCT_4684,2017-06-01 00:52:59,40.694317,-73.73751700000001
263,1,NYCT_4684,2017-06-01 00:52:59,40.694317,-73.73751700000001
264,1,NYCT_4686,2017-06-01 00:53:03,40.742953,-73.91835
265,1,NYCT_4688,2017-06-01 00:53:19,40.759724,-73.800587
266,1,NYCT_4694,2017-06-01 00:53:07,40.761876,-73.829662
267,1,NYCT_470,2017-06-01 00:53:06,40.652446999999995,-73.92247900000001
268,1,NYCT_4701,2017-06-01 00:53:01,40.651001,-73.90598299999999
269,1,NYCT_4702,2017-06-01 00:23:30,40.709189,-73.960009
270,1,NYCT_4710,2017-06-01 00:53:09,40.810683000000004,-73.92772099999999
271,1,NYCT_4711,2017-06-01 00:43:35,40.873788,-73.90857199999999
272,1,NYCT_4718,2017-06-01 00:43:26,40.89877,-73.84824
273,1,NYCT_4723,2017-06-01 00:33:42,40.8878,-73.860453
274,1,NYCT_4733,2017-06-01 00:52:59,40.907354,-73.896541
275,1,NYCT_4734,2017-06-01 00:53:19,40.857642,-73.882701
276,1,NYCT_4746,2017-06-01 00:33:41,40.878054,-73.905405
277,1,NYCT_4748,2017-06-01 00:53:05,40.886787,-73.899702
278,1,NYCT_4751,2017-06-01 00:53:09,40.849095,-73.906071
279,1,NYCT_4762,2017-06-01 00:52:53,40.839586,-73.905465
280,1,NYCT_4768,2017-06-01 00:33:32,40.833062,-73.85130699999999
281,1,NYCT_4774,2017-06-01 00:53:08,40.822513,-73.819291
282,1,NYCT_4775,2017-06-01 00:13:47,40.852738,-73.82733499999999
283,1,NYCT_478,2017-06-01 00:53:13,40.643318,-73.978206
284,1,NYCT_4780,2017-06-01 00:52:58,40.860299,-73.89279
285,1,NYCT_4781,2017-06-01 00:53:16,40.854226000000004,-73.911908
286,1,NYCT_4782,2017-06-01 00:53:15,40.85195,-73.82646700000001
287,1,NYCT_4782,2017-06-01 00:53:15,40.85195,-73.82646700000001
288,1,NYCT_479,2017-06-01 00:23:43,40.606836,-74.015489
289,1,NYCT_4792,2017-06-01 00:43:21,40.831351,-73.868181
290,1,NYCT_4795,2017-06-01 00:13:55,40.822021,-73.819247
291,1,NYCT_4797,2017-06-01 00:53:17,40.821912,-73.82040500000001
292,1,NYCT_4798,2017-06-01 00:52:53,40.861187,-73.89057199999999
293,1,NYCT_4799,2017-06-01 00:53:03,40.852335,-73.920068
294,1,NYCT_4812,2017-06-01 00:53:15,40.630775,-73.92061600000001
295,1,NYCT_4813,2017-06-01 00:53:14,40.657387,-73.903083
296,1,NYCT_4813,2017-06-01 00:53:14,40.657387,-73.903083
297,1,NYCT_4817,2017-06-01 00:52:53,40.657071,-73.91410400000001
298,1,NYCT_4825,2017-06-01 00:53:16,40.654313,-73.961141
299,1,NYCT_4825,2017-06-01 00:53:16,40.654313,-73.961141
300,1,NYCT_4826,2017-06-01 00:33:48,40.682061,-73.908979
301,1,NYCT_4827,2017-06-01 00:43:33,40.644775,-73.878467
302,1,NYCT_4827,2017-06-01 00:43:33,40.644775,-73.878467
303,1,NYCT_4832,2017-06-01 00:53:07,40.668496999999995,-73.919538
304,1,NYCT_4835,2017-06-01 00:53:12,40.675214000000004,-73.963263
305,1,NYCT_4839,2017-06-01 00:52:40,40.685552,-73.881796
306,1,NYCT_4841,2017-06-01 00:53:07,40.66373,-73.88884300000001
307,1,NYCT_4847,2017-06-01 00:53:18,40.579355,-73.985398
308,1,NYCT_4847,2017-06-01 00:53:18,40.579355,-73.985398
309,1,NYCT_4851,2017-06-01 00:03:24,40.680881,-73.93463299999999
310,1,NYCT_4853,2017-06-01 00:52:53,40.689173,-73.874333
311,1,NYCT_4861,2017-06-01 00:52:59,40.594225,-73.997718
312,1,NYCT_4864,2017-06-01 00:43:32,40.606755,-73.98881300000001
313,1,NYCT_4871,2017-06-01 00:53:16,40.599413,-73.951112
314,1,NYCT_4872,2017-06-01 00:43:12,40.596693,-73.975818
315,1,NYCT_4876,2017-06-01 00:23:29,40.592786,-73.993376
316,1,NYCT_4887,2017-06-01 00:53:06,40.636511999999996,-74.02854599999999
317,1,NYCT_4888,2017-06-01 00:52:48,40.589337,-73.941868
318,1,NYCT_4890,2017-06-01 00:13:26,40.579387,-74.003701
319,1,NYCT_4898,2017-06-01 00:53:14,40.621975,-74.028645
320,1,NYCT_4929,2017-06-01 00:53:17,40.668752000000005,-73.934162
321,1,NYCT_4930,2017-06-01 00:43:25,40.670657,-73.932362
322,1,NYCT_4948,2017-06-01 00:33:53,40.600015,-73.941812
323,1,NYCT_4957,2017-06-01 00:53:20,40.674436,-73.969796
324,1,NYCT_4963,2017-06-01 00:23:29,40.609903,-73.922794
325,1,NYCT_4967,2017-06-01 00:52:52,40.706897999999995,-73.961516
326,1,NYCT_4980,2017-06-01 00:23:30,40.644139,-73.877756
327,1,NYCT_4980,2017-06-01 00:23:30,40.644139,-73.877756
328,1,NYCT_4989,2017-06-01 00:52:51,40.615677000000005,-73.979523
329,1,NYCT_5007,2017-06-01 00:52:59,40.572784999999996,-73.99604000000001
330,1,NYCT_5035,2017-06-01 00:53:06,40.65907,-73.931166
331,1,NYCT_5035,2017-06-01 00:53:06,40.65907,-73.931166
332,1,NYCT_5039,2017-06-01 00:53:01,40.6407,-73.955832
333,1,NYCT_5041,2017-06-01 00:43:09,40.616355,-73.929967
334,1,NYCT_5043,2017-06-01 00:23:33,40.612398999999996,-73.92724399999999
335,1,NYCT_5048,2017-06-01 00:53:01,40.708568,-73.95830600000001
336,1,NYCT_5053,2017-06-01 00:53:04,40.616225,-73.94487
337,1,NYCT_5066,2017-06-01 00:53:10,40.618738,-73.95506999999999
338,1,NYCT_5067,2017-06-01 00:53:15,40.607679,-73.943262
339,1,NYCT_5081,2017-06-01 00:52:56,40.614734999999996,-74.013222
340,1,NYCT_5084,2017-06-01 00:23:36,40.590249,-73.991849
341,1,NYCT_5088,2017-06-01 00:52:57,40.664332,-73.881431
342,1,NYCT_5104,2017-06-01 00:53:09,40.574602,-74.002791
343,1,NYCT_5111,2017-06-01 00:52:54,40.628054999999996,-73.951955
344,1,NYCT_5115,2017-06-01 00:53:07,40.663536,-73.881401
345,1,NYCT_5123,2017-06-01 00:53:21,40.609609999999996,-73.985835
346,1,NYCT_5124,2017-06-01 00:53:03,40.598388,-73.960466
347,1,NYCT_5125,2017-06-01 00:53:17,40.662859000000005,-73.957136
348,1,NYCT_5131,2017-06-01 00:43:17,40.769218,-73.969402
349,1,NYCT_5139,2017-06-01 00:43:10,40.621302,-73.935472
350,1,NYCT_5147,2017-06-01 00:13:28,40.611487,-73.924588
351,1,NYCT_5168,2017-06-01 00:53:18,40.694388000000004,-73.781315
352,1,NYCT_5202,2017-06-01 00:53:05,40.764414,-73.955912
353,1,NYCT_5205,2017-06-01 00:52:51,40.774781,-73.98631400000001
354,1,NYCT_5215,2017-06-01 00:52:52,40.762531,-74.00094200000001
355,1,NYCT_5228,2017-06-01 00:13:39,40.767815999999996,-73.96979
356,1,NYCT_5235,2017-06-01 00:43:18,40.734962,-73.998586
357,1,NYCT_5245,2017-06-01 00:53:09,40.756066,-73.982998
358,1,NYCT_5247,2017-06-01 00:03:53,40.767637,-73.95612
359,1,NYCT_5257,2017-06-01 00:13:43,40.841683,-73.885864
360,1,NYCT_5264,2017-06-01 00:53:16,40.84232,-73.876897
361,1,NYCT_5266,2017-06-01 00:53:00,40.786589,-73.822239
362,1,NYCT_5275,2017-06-01 00:52:55,40.716309,-73.980099
363,1,NYCT_5277,2017-06-01 00:52:57,40.737146,-73.99633
364,1,NYCT_5278,2017-06-01 00:52:54,40.72438,-73.975527
365,1,NYCT_5285,2017-06-01 00:03:35,40.738465999999995,-73.99947900000001
366,1,NYCT_5289,2017-06-01 00:53:02,40.724971000000004,-73.97538399999999
367,1,NYCT_5290,2017-06-01 00:53:06,40.745602000000005,-73.977834
368,1,NYCT_5293,2017-06-01 00:03:46,40.742343,-73.991474
369,1,NYCT_5300,2017-06-01 00:33:33,40.802331,-73.968122
370,1,NYCT_5304,2017-06-01 00:53:11,40.734063,-73.989007
371,1,NYCT_5512,2017-06-01 00:23:37,40.85116,-73.893652
372,1,NYCT_5516,2017-06-01 00:53:01,40.732268,-73.984751
